Unique ID,Interview start time,Interview end time,The device used in the latest access of the survey link,Language of interview,Wave 112 form assignment,Flag to identify non-internet households that were provided a tablet,How often do you discuss government and politics with others?,Would you say you follow the news…,"How much, if at all, do you trust the information you get from… National news organizations","How much, if at all, do you trust the information you get from… Local news organizations","How much, if at all, do you trust the information you get from… Social media sites, such as Facebook, Twitter or YouTube"
116998,2022-07-23 11:46:35,2022-07-23 11:55:58,Smartphone,English,Form 2,Non-tablet HH,A few times a month,All or most of the time,A lot,A lot,Not too much
117214,2022-07-20 17:01:36,2022-07-20 17:07:23,Laptop/PC,English,Form 2,Non-tablet HH,A few times a week,All or most of the time,Some,Not too much,A lot
117395,2022-07-22 17:27:14,2022-07-22 17:39:09,Tablet,English,Form 1,Non-tablet HH,A few times a week,Some of the time,A lot,Some,Not too much
118060,2022-07-24 15:21:55,2022-07-24 15:35:12,Laptop/PC,English,Form 2,Non-tablet HH,Less often,All or most of the time,Some,A lot,Not at all
118110,2022-07-20 16:18:09,2022-07-20 16:36:43,Laptop/PC,English,Form 1,Non-tablet HH,Less often,Only now and then,Not too much,A lot,Not at all
118218,2022-07-21 01:58:21,2022-07-21 03:00:50,Tablet,English,Form 2,Non-tablet HH,Nearly every day,All or most of the time,A lot,A lot,Some
118242,2022-07-23 11:30:41,2022-08-06 04:34:18,Smartphone,English,Form 1,Non-tablet HH,Nearly every day,All or most of the time,Not too much,Some,Not at all
118414,2022-07-21 08:10:51,2022-07-21 08:53:00,Smartphone,English,Form 1,Non-tablet HH,A few times a week,All or most of the time,Not too much,Not too much,Not at all
118888,2022-07-20 19:12:46,2022-07-20 19:26:34,Laptop/PC,English,Form 1,Non-tablet HH,Less often,All or most of the time,A lot,A lot,Some
119121,2022-07-20 15:58:08,2022-07-20 16:08:24,Smartphone,English,Form 1,Non-tablet HH,Nearly every day,All or most of the time,A lot,A lot,Not at all
119128,2022-07-20 15:34:51,2022-07-20 15:43:38,Smartphone,English,Form 1,Non-tablet HH,A few times a month,Some of the time,Not at all,Not too much,Not too much
119392,2022-07-20 20:26:31,2022-07-20 20:55:24,Laptop/PC,English,Form 1,Non-tablet HH,A few times a month,All or most of the time,Some,Some,Some
